Rk,Player,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
82,Jalen Johnson,ATL,SF,56,52,33.7,6.4,12.5,0.511,1.3,3.6,0.355,5.1,9,0.574,0.562,1.9,2.6,1.3,7.4,8.7,3.6,1.2,0.8,1.8,2.4,16
83,Shaedon Sharpe,POR,SG,32,25,33.1,5.5,13.6,0.406,1.9,5.6,0.333,3.6,7.9,0.457,0.475,3.1,3.7,1.3,3.7,5,2.9,0.9,0.4,2.3,2.8,15.9
84,Austin Reaves,LAL,SG,82,57,32.1,5.6,11.5,0.486,1.9,5.1,0.367,3.7,6.3,0.583,0.568,2.8,3.3,0.7,3.6,4.3,5.5,0.8,0.3,2.1,1.9,15.9
85,Malcolm Brogdon,POR,PG,39,25,28.7,5.6,12.7,0.44,2.1,5.1,0.412,3.5,7.6,0.458,0.522,2.4,3,0.7,3.1,3.8,5.5,0.7,0.2,1.5,1.5,15.7
86,Keldon Johnson,SAS,SF,69,27,29.5,5.7,12.5,0.454,1.8,5.3,0.346,3.8,7.2,0.533,0.527,2.5,3.2,1.4,4.1,5.5,2.8,0.7,0.3,1.4,2.2,15.7
87,Evan Mobley,CLE,PF,50,50,30.6,6.4,11,0.58,0.4,1.2,0.373,6,9.9,0.604,0.6,2.5,3.4,2.2,7.1,9.4,3.2,0.9,1.4,1.8,2.7,15.7
88,De'Andre Hunter,ATL,SF,57,37,29.5,5.3,11.6,0.459,2.1,5.3,0.385,3.3,6.3,0.521,0.547,2.9,3.4,0.5,3.4,3.9,1.5,0.7,0.3,1.5,2.6,15.6
89,Donte DiVincenzo,NYK,SG,81,63,29.1,5.5,12.4,0.443,3.5,8.7,0.401,2,3.7,0.542,0.584,1.1,1.4,0.8,2.9,3.7,2.7,1.3,0.4,1.4,2,15.5
90,Kelly Oubre Jr.,PHI,SF,68,52,30.2,5.7,12.9,0.441,1.5,4.8,0.311,4.2,8.1,0.517,0.498,2.6,3.4,1.4,3.6,5,1.5,1.1,0.7,1.3,2.9,15.4
91,Malik Monk,SAC,SG,72,0,26,5.5,12.4,0.443,2.1,5.9,0.35,3.4,6.5,0.528,0.526,2.4,2.8,0.4,2.6,2.9,5.1,0.6,0.5,2.1,2.2,15.4
92,Jaden Ivey,DET,SG,77,61,28.8,5.4,12.6,0.429,1.6,4.8,0.336,3.8,7.8,0.485,0.492,2.9,3.9,1.1,2.3,3.4,3.8,0.7,0.5,2.5,2.6,15.4
93,Bojan Bogdanovic,2TM,PF,57,27,25.9,5.4,11.9,0.454,2.3,5.9,0.398,3.1,6.1,0.507,0.551,2.1,2.6,0.4,2.3,2.7,1.7,0.5,0.1,1.8,1.7,15.2
94,Keegan Murray,SAC,SF,77,77,33.6,5.8,12.7,0.454,2.4,6.6,0.358,3.4,6,0.56,0.548,1.3,1.6,1.4,4.1,5.5,1.7,1,0.8,0.8,2.7,15.2
95,Derrick White,BOS,SG,73,73,32.6,5.3,11.5,0.461,2.7,6.8,0.396,2.6,4.7,0.555,0.578,1.9,2.1,0.7,3.5,4.2,5.2,1,1.2,1.5,2.1,15.2
96,John Collins,UTA,PF,68,66,28,5.8,11,0.532,1.3,3.4,0.371,4.6,7.6,0.605,0.59,2.2,2.7,2.3,6.1,8.5,1.1,0.6,0.9,1.4,2.8,15.1
97,Khris Middleton,MIL,SF,55,55,27,5.8,11.7,0.493,1.7,4.5,0.381,4.1,7.2,0.563,0.566,1.8,2.2,0.7,3.9,4.7,5.3,0.9,0.3,2.3,2.6,15.1
98,Trey Murphy III,NOP,SF,57,23,29.6,4.8,10.9,0.443,3,7.8,0.38,1.9,3.1,0.602,0.579,2.2,2.6,0.7,4.2,4.9,2.2,0.9,0.5,0.6,1.2,14.8
99,Deni Avdija,WAS,SF,75,75,30.1,5.4,10.7,0.506,1.2,3.1,0.374,4.2,7.6,0.56,0.56,2.7,3.6,1.1,6.1,7.2,3.8,0.8,0.5,2.1,2.5,14.7
100,OG Anunoby,2TM,SF,50,50,34,5.6,11.5,0.489,2,5.3,0.382,3.6,6.2,0.581,0.577,1.3,1.8,0.9,3.2,4.2,2.1,1.4,0.7,1.6,2.4,14.7
101,GG Jackson II,MEM,PF,48,18,25.7,5,11.7,0.428,2.1,6,0.357,2.9,5.8,0.502,0.519,2.4,3.2,1.1,3,4.1,1.2,0.6,0.5,1.4,1.3,14.6
102,Bennedict Mathurin,IND,SF,59,19,26.1,5,11.2,0.446,1.4,3.6,0.374,3.7,7.6,0.481,0.507,3.1,3.8,1,2.9,4,2,0.6,0.2,1.6,2,14.5
103,Marcus Smart,MEM,PG,20,20,30.3,5.1,11.9,0.43,2.1,6.7,0.313,3,5.2,0.583,0.519,2.2,2.8,0.3,2.4,2.7,4.3,2.1,0.3,3.1,2.7,14.5
104,Tim Hardaway Jr.,DAL,SF,79,12,26.8,5,12.4,0.402,2.7,7.6,0.353,2.3,4.8,0.478,0.51,1.8,2.1,0.3,2.9,3.2,1.8,0.5,0.1,0.9,1.3,14.4
105,Dennis Schroder,2TM,PG,80,58,31.1,5,11.6,0.435,1.7,4.6,0.375,3.3,7,0.474,0.509,2.2,2.7,0.5,2.5,3,6.1,0.8,0.2,1.9,2.1,14
106,Scoot Henderson,POR,PG,62,32,28.5,5,12.9,0.385,1.4,4.3,0.325,3.5,8.5,0.416,0.44,2.7,3.3,0.9,2.3,3.1,5.4,0.8,0.2,3.4,3.1,14
107,Caris LeVert,CLE,SG,68,10,28.8,5.1,12.1,0.421,1.6,4.9,0.325,3.5,7.2,0.486,0.487,2.3,3,0.6,3.5,4.1,5.1,1.1,0.5,1.7,1.8,14
108,Rudy Gobert,MIN,C,76,76,34.1,5.3,8.1,0.661,0,0,0,5.3,8,0.664,0.661,3.3,5.1,3.8,9.2,12.9,1.3,0.7,2.1,1.6,3.1,14
109,Norman Powell,LAC,SG,76,3,26.2,4.9,10.1,0.486,2.2,5.1,0.435,2.7,5.1,0.536,0.594,1.9,2.3,0.2,2.4,2.6,1.1,0.6,0.3,0.9,1.8,13.9
110,Aaron Gordon,DEN,PF,73,73,31.5,5.5,9.8,0.556,0.5,1.9,0.29,4.9,7.9,0.619,0.584,2.4,3.7,2.4,4.1,6.5,3.5,0.8,0.6,1.4,1.9,13.9
